k,E(k),H(k)
0.5,0.08507160004154972,0.0
1.5,634317177.9635144,17035.207337853913
2.5,3.457210112366264,-0.27062755477957096
3.5,3.025271935380554,0.8494021418952791
4.5,3.2386907282562767,3.224722452835271
5.5,3.154786091371771,-0.46810806095442065
6.5,3.408624214687009,-1.3281808291605175
7.5,3.312606514742594,-0.07685305936047253
8.5,3.0207017334686053,-0.8559516180905257
9.5,3.1189636334833533,1.0163755675659445
10.5,3.1310739755214567,0.8086275523109041
11.5,3.065254303917145,1.4001772998506499
12.5,3.0527663967768888,-1.3519590282868421
13.5,3.191616012201086,-0.17638078508169322
14.5,3.0718720716836665,2.0738794384633525
15.5,3.12405454557855,-1.2143155252929052
16.5,3.106919010998184,-0.7670126234913505
17.5,3.1799266678474263,0.21019901691221546
18.5,3.149643053341956,-0.9682904642878531
19.5,3.1599662866715033,-1.2090973060281305
20.5,3.0672018797544367,-1.6651148940274247
21.5,3.120822408583753,-0.5774673016083665
22.5,3.147757908717819,1.7861508474336278
23.5,3.141762096489733,-0.9723033652140544
24.5,3.171827432195454,0.030110383311123805
25.5,3.1565158726900244,0.0912071670036934
26.5,3.100394165171054,-1.114812091945711
27.5,3.143227345505559,0.5643906159570553
28.5,3.1334546023933276,1.201550753412913
29.5,3.137638000498651,1.425066462751414
30.5,3.14868807434902,-0.4588194293778724
31.5,3.1351799996110135,1.224055237224556
32.5,3.1447253294164645,-0.8447970216962356
33.5,3.1521079805877164,-1.5449601673886317
34.5,3.15087198460235,-1.4004205927182214
35.5,3.0928793651314104,-0.6367781595079425
36.5,3.1497625419924815,0.25237195612666724
37.5,3.1232641643776353,-0.06391789372267061
38.5,3.173912933019509,-1.6726651865666418
39.5,3.1381081286638657,-1.2769817206977705
40.5,3.1433341365475105,-0.0832046358570352
41.5,3.1311706873778387,1.0852181660409672
42.5,3.1074863003258644,0.09932734742790449
43.5,3.1682668295598972,1.6321024715089927
44.5,3.1488758199130653,1.0091561767691004
45.5,3.146526892636939,0.783101556945611
46.5,3.1218534507057174,-0.7354994439397828
47.5,3.1359493641167715,-2.4824928179644967
48.5,3.1319144750665746,0.08614782498012975
49.5,3.1746256901473546,-1.2269119454754336
50.5,3.177545351623338,0.3097732132685946
51.5,3.1393464336873054,-0.11066170117951074
52.5,3.1319150214120177,-0.6407203938809407
53.5,3.157291723854929,-0.09731443485109376
54.5,3.1560523748447187,2.133527197899843
55.5,3.144884347039555,0.4786212739582233
56.5,3.1389260484614425,-0.3321652769460288
57.5,3.1605318777282987,-0.5486186149981261
58.5,3.1533827543463406,-0.39035774030800535
59.5,3.141344896717778,0.6924818108006006
60.5,3.136872579455934,1.2331146291009074
61.5,3.151511876648601,-2.6064412673348962
62.5,3.127671175865559,0.4481993233236993
63.5,3.1588674414501665,-0.23423464562698892
64.5,3.1446857821436525,2.1612748321413737
65.5,3.153557737769059,-0.48000480089797215
66.5,3.1712435995631254,2.464762570197291
67.5,3.13149472513494,0.5017488864183081
68.5,3.150665404070947,-1.137912528246132
69.5,3.111669611364588,-1.895808969117397
70.5,3.1509384341240305,3.589827772688222
71.5,3.1828752565828795,-0.44311090668174646
72.5,3.1239819568609426,0.4214748500885389
73.5,3.1418409301757593,-0.6381621676297556
74.5,3.1282709275016556,1.0595046356777675
75.5,3.156761325834311,1.4462001272082812
76.5,3.1579906206722783,0.9968931083849553
77.5,3.1440266065567033,-0.5497229917025321
78.5,3.1244116393836223,-0.9093079054906423
79.5,3.1503592194347254,0.7438327445000417
80.5,3.1678431986856195,-2.649748887237864
81.5,3.12511351095093,-2.734047352069374
82.5,3.1529156970026415,-0.521785019957131
83.5,3.1452123247400903,1.9762637488719628
84.5,3.1154111996070792,0.6954048739500027
85.5,3.1412486983118875,1.7633836853488682
86.5,3.126684901412231,-1.8477166629481037
87.5,3.1666460059245805,2.616225934588226
88.5,3.1728437338678965,-0.47080933954114446
89.5,3.143258954148191,-7.4638958403754785
90.5,3.0991377219732037,-2.896489029735507
91.5,3.171753129456859,2.975831879052982
92.5,3.1451137782696783,3.2625880179416185
93.5,3.1759390342266416,8.50893392665101
94.5,3.1367819321413806,-0.998503638095643
95.5,3.158738234188609,-2.8000136096801778
96.5,3.120182754364793,-1.1842938738293107
97.5,3.179049328678641,-3.350792369230528
98.5,3.18035198958352,-2.3681608164726216
99.5,3.1958545298656786,-19.274157838535398
100.5,3.1174481456284098,-2.3581780855050742
101.5,3.161457640481975,-8.572083223760462
102.5,3.1104770848397147,10.512250247328069
103.5,3.095627256703027,-11.416846673749971
104.5,3.2121140013431413,13.08025781135924
105.5,3.1544269123043067,-16.603421081173757
106.5,3.1103319156781684,-15.841752507503458
107.5,3.192934290813334,-20.35502779633513
108.5,3.250557550849275,-42.25416978079489
109.5,3.5953062797966235,-6.393246459230474
