time,Nu,heat_flux,Q,Q_num,norm_grad_u,norm_A,KE
0.0079,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.008,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0081,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0082,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0083,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.008400000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0085,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0086,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.008700000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0088,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0089,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.009000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0091,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0092,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.009300000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0094,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0095,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.009600000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0097,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0098,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0099,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.010100000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0102,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0103,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.010400000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0105,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0106,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.010700000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0108,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0109,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.011000000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0111,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0112,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.011300000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
